gesture_recognition_mem.committed_Committed_AS,gesture_recognition_system.active_processes_active,gesture_recognition_system.cpu_user,gesture_recognition_system.file_nr_used_used,gesture_recognition_system.processes_running,gesture_recognition_system.ram_buffers,gesture_recognition_system.ram_cached,gesture_recognition_system.ram_free,gesture_recognition_system.ram_used,Target
26613.55,1592,31.89143,14784,7,30.14062,1780.465,363.3633,4617.125,5
26619.86,1592,21.73175,14784,5,30.14844,1780.523,354.3789,4626.043,5
26625.13,1592,14.839798,14784,4,30.15625,1780.531,360.0078,4620.398,5
26879.56,1592,11.952862,14848,4,30.15625,1780.531,337.5664,4642.84,5
26663.56,1593,15.443038,14848,5,30.15625,1780.539,321.957,4658.441,5
26629.36,1592,26.61017,14784,19,30.16797,1780.551,299.6211,4680.754,5
26618.79,1593,17.18882,14784,22,30.16797,1780.547,309.5742,4670.805,5
26614.71,1592,14.87743,14784,13,30.17578,1780.586,331.1133,4649.219,5
26602.41,1584,13.175676,14784,4,30.17578,1780.59,346.543,4633.785,5
26836.94,1585,12.320675,14816,4,30.17578,1780.559,365.7773,4614.582,5
27306.71,1584,16.300676,14784,7,30.17578,1780.559,371.7695,4608.59,5
26689.26,1583,23.59362,14848,6,30.17578,1780.566,342.7852,4637.566,5
26595.52,1583,18.78686,14880,6,30.18359,1781.574,346.2891,4633.047,5
26593.8,1582,16.582064,14880,5,30.18359,1781.578,354.3008,4625.031,5
26593.84,1582,9.50764,14880,5,30.18359,1781.578,365.4102,4613.922,5
26601.12,1583,10.236887,14880,4,30.18359,1781.578,358.5508,4620.781,5
26637.9,1584,17.84512,14880,7,30.18359,1781.617,323.0547,4656.238,5
26605.6,1583,30.80169,14880,7,30.19531,1781.625,251.625,4727.648,5
26595.28,1585,24.63768,14816,5,30.32031,1783.398,279.707,4697.668,5
26593.68,1583,17.1404,14816,5,30.32031,1783.566,307.0508,4670.156,5
26598.27,1583,9.548167,14848,3,30.32031,1783.566,317.0938,4660.113,5
26595.84,1584,20.90444,14816,8,30.32812,1783.574,288.332,4688.859,5
27314.07,1584,21.83219,14784,7,30.32812,1783.582,282.3711,4694.812,5
26592.09,1583,24.57192,14752,6,30.32812,1783.602,280.3672,4696.797,5
26594.07,1583,21.33676,14784,5,30.32812,1794.934,284.8281,4681.004,5
26592.25,1582,16.237113,14784,6,30.32812,1794.934,308.6445,4657.188,5
26592.32,1582,20.2381,14752,8,30.35938,1794.93,287.9531,4677.852,5
26622.17,1582,22.13675,14784,4,30.39062,1794.965,277.8086,4687.93,5
26582.64,1582,15.508475,14816,6,30.39062,1795.16,280.2852,4685.258,5
26596.58,1581,11.496196,14816,6,30.39062,1795.16,344.1875,4621.355,5
26598.3,1583,12.013536,14816,7,30.39062,1795.164,325.2539,4640.285,5
26596.58,1581,12.054329,14784,5,30.39062,1795.168,314.5352,4651.0,5
26604.94,1582,12.372881,14816,4,30.39844,1795.168,322.75,4642.777,5
26588.13,1580,29.77099,14784,6,30.39844,1796.219,281.3086,4683.168,5
26588.13,1580,19.05565,14816,5,30.39844,1796.367,263.6328,4700.695,5
26589.29,1580,17.03204,14784,5,30.39844,1796.492,275.3516,4688.852,5
26591.36,1580,22.83795,14848,10,30.39844,1796.539,281.8164,4682.34,5
26591.4,1580,15.611814,14848,4,30.6875,1797.184,271.9219,4691.301,5
26592.05,1580,17.84512,14880,11,30.69531,1797.184,284.3281,4678.887,5
