object_detection_mem.committed_Committed_AS,object_detection_system.active_processes_active,object_detection_system.cpu_user,object_detection_system.file_nr_used_used,object_detection_system.processes_running,object_detection_system.ram_buffers,object_detection_system.ram_cached,object_detection_system.ram_free,object_detection_system.ram_used,Target
24231.15,1706,6.560135,15212,2,45.27344,1988.262,367.9609,4389.602,0
24233.29,1706,7.124895,15244,1,45.27344,1988.262,368.8516,4388.711,0
24233.14,1707,7.04698,15244,3,45.27344,1988.262,368.9219,4388.641,0
24231.16,1705,6.465155,15212,1,45.27344,1988.266,371.1992,4386.359,0
24235.18,1701,6.806723,15212,1,45.27344,1988.266,372.5039,4385.055,0
24242.25,1701,6.9747900000000005,15180,2,45.28125,1988.266,360.4023,4397.148,0
24242.25,1701,7.35786,15148,1,45.28125,1988.266,363.7383,4393.812,0
24235.18,1700,6.386555,15116,1,45.28125,1988.266,365.625,4391.926,0
24235.18,1700,6.812447,15180,1,45.28125,1988.266,370.8477,4386.703,0
24235.18,1700,6.481481,15180,1,45.28125,1988.266,371.5391,4386.012,0
24235.21,1700,6.818182,15180,1,45.28906,1988.266,368.8398,4388.703,0
24235.21,1700,6.801008,15212,3,45.28906,1988.266,367.4688,4390.074,0
24235.21,1700,8.305369,15212,4,45.28906,1988.266,369.6797,4387.863,0
24235.21,1700,8.333333,15244,4,45.28906,1988.266,367.9609,4389.582,0
24235.21,1700,8.600337,15212,2,45.28906,1988.266,355.7109,4401.832,0
24235.21,1700,8.549873999999999,15212,2,45.29688,1988.266,355.4375,4402.098,0
24235.21,1700,8.508846,15212,2,45.29688,1988.266,350.6016,4406.934,0
24487.16,1701,8.053691,15212,3,45.29688,1988.266,349.8867,4407.648,0
24235.21,1700,8.494533,15244,2,45.29688,1988.266,353.7227,4403.812,0
24235.21,1700,8.571429,15212,2,45.29688,1988.266,353.6914,4403.844,0
24235.22,1700,6.957251,15212,2,45.29688,1988.266,355.4883,4402.047,0
24235.22,1700,6.470588,15212,2,45.30469,1988.266,358.7383,4398.789,0
24235.22,1700,7.744108,15212,2,45.30469,1988.32,363.7305,4393.742,0
24334.93,1700,6.649832,15212,3,45.32031,1988.367,363.5703,4393.84,0
24235.22,1700,7.214765,15244,2,45.32031,1988.332,362.5859,4394.859,0
24235.26,1700,7.142857,15212,1,45.32031,1988.332,359.7891,4397.656,0
24236.97,1701,6.812447,15212,2,45.32031,1988.512,362.7344,4394.531,0
24235.26,1700,6.228956,15180,1,45.32031,1988.512,362.2422,4395.023,0
24237.39,1700,8.24222,15148,2,45.32031,1988.512,359.5352,4397.73,0
24239.37,1701,8.648195,15148,3,45.32812,1988.512,362.0,4395.258,0
24235.27,1700,8.178752,15180,2,45.32812,1988.516,365.1992,4392.055,0
24235.2,1700,8.458961,15180,3,45.32812,1988.516,361.6641,4395.59,0
24270.13,1700,8.010118,15180,4,45.32812,1988.52,360.6094,4396.641,0
24235.2,1700,8.137584,15212,3,45.32812,1988.52,360.6094,4396.641,0
24235.21,1700,8.557047,15212,4,45.33594,1988.52,360.8086,4396.434,0
24235.22,1700,8.487395,15180,2,45.33594,1988.52,361.957,4395.285,0
24235.22,1700,8.51602,15148,2,45.33594,1988.52,365.2578,4391.984,0
24487.16,1700,8.466052,15148,3,45.33594,1988.52,363.9219,4393.32,0
24239.23,1701,8.178752,15180,2,45.33594,1988.52,362.2812,4394.961,0
24239.23,1701,8.724832,15212,2,45.33594,1988.52,361.7383,4395.504,0
24378.0,1710,8.144416,15244,4,45.34375,1988.52,356.293,4400.941,0
24235.23,1700,8.249158,15244,2,45.34375,1988.52,353.5898,4403.645,0
24235.24,1700,7.885906,15212,2,45.35156,1988.52,352.3164,4404.91,0
24235.25,1700,8.087616,15212,2,45.35156,1988.52,353.7305,4403.496,0
24242.37,1700,8.968986,15212,2,45.35156,1988.52,347.0625,4410.164,0
24244.08,1701,8.410429,15180,3,45.35156,1988.52,348.3398,4408.887,0
24239.31,1700,8.00337,15180,2,45.35156,1988.52,354.0781,4403.148,0
24239.31,1700,8.214585,15180,2,45.35938,1988.52,360.5781,4396.641,0
24241.04,1701,7.983193,15180,3,45.35938,1988.52,359.1602,4398.059,0
24239.3,1700,9.083263,15180,2,45.35938,1988.52,355.3438,4401.875,0
24239.3,1700,8.24222,15180,2,45.35938,1988.52,354.4961,4402.723,0
24243.31,1701,8.333333,15148,2,45.35938,1988.52,353.5703,4403.648,0
24243.19,1701,8.235294,15148,4,45.36719,1988.52,354.0742,4403.137,0
24244.91,1702,7.912458,15148,4,45.36719,1988.52,351.6133,4405.598,0
24239.19,1700,8.185654,15148,3,45.38281,1988.52,351.6133,4405.582,0
24246.28,1701,14.537815,15148,3,45.38281,1988.555,348.3398,4408.82,0
24271.01,1702,9.07563,15116,3,45.38281,1988.555,321.8828,4435.277,0
24266.23,1701,8.389262,15116,2,45.38281,1988.555,323.8398,4433.32,0
24271.04,1701,8.739495999999999,15116,2,45.38281,1988.559,321.6172,4435.539,0
24254.62,1704,8.326325,15148,3,45.39062,1988.559,335.918,4421.23,0
24253.11,1701,8.249158,15180,2,45.40625,1988.559,335.5703,4421.562,0
24247.25,1701,7.544007,15212,2,45.40625,1988.562,325.9414,4431.188,0
24248.37,1701,6.638655,15212,2,45.40625,1988.562,324.4375,4432.691,0
24243.23,1701,6.806723,15212,2,45.40625,1988.562,320.9766,4436.152,0
24243.27,1701,6.655434,15244,2,45.40625,1988.562,324.7305,4432.398,0
24243.13,1702,8.00337,15244,2,45.41406,1988.562,320.2852,4436.836,0
24243.13,1702,8.578638,15244,2,45.41406,1988.562,320.0391,4437.082,0
24241.9,1703,8.823529,15212,3,45.41406,1988.562,304.6211,4452.5,0
24236.06,1701,8.487395,15212,2,45.41406,1988.562,307.6992,4449.422,0
24236.06,1701,7.550336,15212,2,45.41406,1988.562,309.5156,4447.605,0
24237.77,1702,7.996633,15212,3,45.4375,1988.566,304.3164,4452.777,0
24236.06,1701,6.560135,15180,1,45.4375,1988.566,303.4297,4453.664,0
24236.06,1701,6.9747900000000005,15180,1,45.4375,1988.566,306.9805,4450.113,0
24236.11,1700,7.969799,15180,1,45.4375,1988.566,311.4922,4445.602,0
24236.05,1700,6.789606,15180,1,45.4375,1988.566,311.2227,4445.871,0
24236.05,1700,6.717045,15212,2,45.44531,1988.566,306.9648,4450.121,0
24236.07,1700,7.317073,15212,1,45.44531,1988.566,312.8828,4444.203,0
24236.07,1700,7.504215999999999,15212,2,45.44531,1988.566,319.8594,4437.227,0
24236.08,1701,8.403361,15180,2,45.44531,1988.566,326.8672,4430.219,0
24236.12,1701,8.64094,15212,2,45.44531,1988.566,329.1562,4427.93,0
24236.12,1701,8.648195,15212,2,45.44531,1988.566,321.3242,4435.762,0
24236.12,1701,7.659933,15212,1,45.45312,1988.57,325.4141,4431.66,0
24236.12,1702,6.492411,15212,3,45.45703,1988.566,327.2383,4429.836,0
24236.12,1701,6.728343,15212,1,45.45703,1988.566,326.2461,4430.828,0
24236.12,1701,6.728343,15212,2,45.47266,1988.578,327.7617,4429.285,0
24236.01,1701,7.575758,15180,2,45.50391,1988.555,328.5273,4428.512,0
24236.02,1701,8.466052,15180,2,45.50391,1988.555,329.6445,4427.395,0
24236.02,1701,9.228188,15180,3,45.51172,1988.555,333.8008,4423.23,0
