audio_classification_mem.committed_Committed_AS,audio_classification_system.active_processes_active,audio_classification_system.cpu_user,audio_classification_system.file_nr_used_used,audio_classification_system.processes_running,audio_classification_system.ram_buffers,audio_classification_system.ram_cached,audio_classification_system.ram_free,audio_classification_system.ram_used,Target
24648.77,1496.0,2.695872,12822.0,2.0,88.80078,2435.039,761.9297,3505.328,4
24648.9,1496.0,2.693603,12822.0,2.0,88.80078,2435.039,761.4648,3505.793,4
24647.05,1494.0,2.693603,12854.0,1.0,88.80078,2435.043,759.1797,3508.074,4
24646.92,1494.0,2.523129,12854.0,1.0,88.80078,2435.043,760.5508,3506.703,4
24646.93,1494.0,2.015113,12822.0,1.0,88.80078,2435.043,761.2773,3505.977,4
24648.78,1494.0,2.347024,12854.0,2.0,88.80859,2435.043,763.0625,3504.184,4
24872.33,1493.0,2.181208,12854.0,2.0,88.80859,2435.043,761.3203,3505.926,4
24646.94,1493.0,2.10084,12822.0,1.0,88.80859,2435.043,759.9375,3507.309,4
24646.94,1493.0,2.17938,12822.0,1.0,88.81641,2435.043,759.8516,3507.387,4
24646.95,1493.0,2.609428,12822.0,1.0,88.81641,2435.043,760.543,3506.695,4
24676.41,1493.0,2.512563,12854.0,1.0,88.81641,2435.043,760.9141,3506.324,4
24904.25,1496.0,2.782462,12822.0,3.0,88.81641,2435.043,764.2812,3502.957,4
24648.59,1494.0,3.017603,12758.0,2.0,88.82422,2435.043,764.7852,3502.445,4
24646.89,1493.0,1.93115,12790.0,1.0,88.82422,2435.043,761.3242,3505.906,4
24646.82,1493.0,2.261307,12758.0,1.0,88.83984,2435.043,759.4844,3507.73,4
24646.85,1493.0,1.93115,12758.0,1.0,88.83984,2435.043,756.8906,3510.324,4
24648.57,1494.0,2.267003,12790.0,2.0,88.83984,2435.043,759.168,3508.047,4
24676.31,1494.0,2.015113,12790.0,5.0,88.83984,2435.043,758.6367,3508.578,4
24646.85,1493.0,2.102607,12758.0,1.0,88.83984,2435.043,758.5898,3508.625,4
24646.85,1493.0,2.523129,12758.0,1.0,88.83984,2435.043,763.0078,3504.207,4
24646.85,1493.0,2.695872,12758.0,1.0,88.84766,2435.043,764.6172,3502.59,4
24648.84,1494.0,2.436975,12790.0,2.0,88.84766,2435.043,763.1016,3504.105,4
24902.29,1494.0,2.691337,12790.0,2.0,88.84766,2435.043,760.2891,3506.918,4
24646.86,1493.0,2.175732,12726.0,1.0,88.84766,2435.043,759.3398,3507.867,4
24646.93,1493.0,2.10084,12758.0,1.0,88.84766,2435.043,760.5078,3506.699,4
24646.86,1493.0,2.183039,12758.0,1.0,88.85547,2435.043,760.5938,3506.605,4
24648.6,1494.0,1.760268,12758.0,2.0,88.85547,2435.043,759.4961,3507.703,4
24648.59,1494.0,2.270816,12758.0,2.0,88.87109,2435.043,759.8125,3507.371,4
24648.85,1494.0,2.184874,12758.0,2.0,88.87109,2435.043,760.8438,3506.34,4
24646.89,1493.0,2.607233,12790.0,2.0,88.87109,2435.043,760.6523,3506.531,4
24646.89,1493.0,2.691337,12790.0,1.0,88.87109,2435.043,760.9336,3506.25,4
24646.89,1493.0,2.605042,12822.0,2.0,88.87109,2435.047,760.2812,3506.898,4
24648.74,1494.0,2.693603,12822.0,2.0,88.87891,2435.047,754.1328,3513.039,4
24676.36,1493.0,2.097315,12822.0,2.0,88.87891,2435.047,756.0312,3511.141,4
24646.89,1493.0,1.848739,12822.0,1.0,88.87891,2435.047,755.7305,3511.441,4
24646.89,1493.0,2.347024,12758.0,1.0,88.88672,2435.047,756.168,3510.996,4
24646.91,1493.0,2.184874,12822.0,1.0,88.88672,2435.047,755.7734,3511.391,4
24648.29,1494.0,2.013423,12790.0,2.0,88.89453,2435.051,754.4961,3512.656,4
24650.63,1494.0,2.17938,12822.0,3.0,88.90234,2435.051,755.2852,3511.859,4
24646.92,1493.0,4.446309,12822.0,1.0,88.97266,2435.055,755.7188,3511.352,4
24646.92,1493.0,2.529511,12790.0,1.0,88.97266,2435.059,755.1406,3511.926,4
24646.92,1493.0,2.352941,12758.0,1.0,88.97266,2435.117,757.125,3509.883,4
24901.97,1493.0,2.611626,12790.0,2.0,88.97266,2435.117,754.6094,3512.398,4
24648.65,1494.0,2.099076,12822.0,2.0,88.97266,2435.117,751.9336,3515.074,4
24648.78,1494.0,2.186712,12822.0,2.0,88.98438,2435.117,753.5273,3513.469,4
24646.95,1493.0,2.015113,12822.0,1.0,89.0,2435.117,758.3789,3508.602,4
24646.82,1493.0,2.099076,12886.0,1.0,89.0,2435.117,759.4883,3507.492,4
24646.83,1493.0,2.181208,12854.0,1.0,89.0,2435.117,758.6289,3508.352,4
24650.63,1497.0,2.350966,12822.0,3.0,89.0,2435.117,758.1836,3508.797,4
24648.89,1494.0,2.768456,12790.0,2.0,89.01172,2435.121,762.4492,3504.516,4
24646.91,1493.0,2.613828,12790.0,1.0,89.01172,2435.121,758.3281,3508.637,4
24646.91,1493.0,2.611626,12758.0,1.0,89.01172,2435.133,757.375,3509.578,4
24646.91,1493.0,2.525253,12790.0,1.0,89.01172,2435.133,762.168,3504.785,4
24651.02,1494.0,2.682313,12790.0,2.0,89.01172,2435.133,757.6328,3509.32,4
24902.36,1494.0,2.015113,12822.0,2.0,89.01953,2435.133,758.5938,3508.352,4
24646.93,1493.0,2.17938,12854.0,1.0,89.01953,2435.133,758.0703,3508.875,4
24646.93,1493.0,1.850294,12822.0,2.0,89.01953,2435.133,754.3633,3512.582,4
24646.89,1493.0,2.512563,12822.0,1.0,89.01953,2435.133,758.2656,3508.68,4
24902.33,1494.0,2.015113,12790.0,3.0,89.01953,2435.133,757.8984,3509.047,4
24648.61,1494.0,2.866779,12790.0,2.0,89.02734,2435.145,766.0195,3500.906,4
24648.75,1494.0,2.857143,12790.0,2.0,89.02734,2435.148,765.8438,3501.078,4
24646.91,1493.0,2.773109,12790.0,1.0,89.02734,2435.148,762.4023,3504.52,4
24646.91,1493.0,2.611626,12822.0,1.0,89.02734,2435.148,761.3789,3505.543,4
24650.11,1493.0,2.439024,12790.0,1.0,89.02734,2435.148,755.9727,3510.949,4
24651.96,1494.0,2.013423,12822.0,2.0,89.04297,2435.148,753.8477,3513.059,4
24652.09,1494.0,2.607233,12822.0,2.0,89.04297,2435.148,755.0078,3511.898,4
24650.11,1493.0,2.177554,12822.0,1.0,89.04297,2435.148,754.7188,3512.188,4
24646.86,1493.0,2.011735,12790.0,1.0,89.04297,2435.16,757.8477,3509.047,4
24646.86,1493.0,1.847187,12758.0,1.0,89.04297,2435.16,758.2734,3508.621,4
24648.85,1494.0,2.775442,12790.0,2.0,89.05078,2435.16,758.9844,3507.902,4
24647.14,1494.0,2.691337,12790.0,2.0,89.05078,2435.16,758.1523,3508.734,4
24646.87,1493.0,2.689076,12790.0,3.0,89.05078,2435.16,757.0156,3509.871,4
24646.92,1493.0,2.787162,12790.0,1.0,89.05078,2435.16,756.8047,3510.082,4
24646.92,1493.0,1.92953,12790.0,1.0,89.05078,2435.16,755.1445,3511.742,4
24902.36,1494.0,1.847187,12822.0,2.0,89.05859,2435.16,752.2383,3514.641,4
24648.63,1494.0,2.177554,12854.0,2.0,89.05859,2435.16,755.9102,3510.969,4
24648.89,1494.0,2.181208,12822.0,2.0,89.05859,2435.16,754.9883,3511.891,4
24646.93,1493.0,2.350966,12854.0,1.0,89.05859,2435.16,753.75,3513.129,4
24646.93,1493.0,2.013423,12854.0,1.0,89.05859,2435.16,753.9258,3512.953,4
24646.87,1493.0,2.773109,12790.0,1.0,89.06641,2435.164,753.1758,3513.691,4
24648.71,1494.0,2.859546,12790.0,2.0,89.06641,2435.164,756.0547,3510.812,4
24648.98,1494.0,2.775442,12758.0,2.0,89.08203,2435.164,761.1875,3505.664,4
24647.0,1493.0,2.693603,12790.0,1.0,89.08203,2435.164,759.9023,3506.949,4
24647.0,1493.0,1.92953,12758.0,1.0,89.08203,2435.164,758.3359,3508.516,4
24647.02,1493.0,1.932773,12790.0,1.0,89.08203,2435.164,758.5312,3508.32,4
