face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
24886.47,1651.0,33.16195,14646.0,3.0,70.56641,1984.938,347.1562,4388.438,4
24720.94,1650.0,27.90698,14582.0,2.0,71.36719,1985.074,344.8203,4389.836,4
24722.71,1647.0,16.53944,14550.0,2.0,72.91016,1985.766,343.0039,4389.418,4
24657.18,1645.0,17.61702,14518.0,2.0,74.00391,1987.32,349.0078,4380.766,4
24661.13,1647.0,20.63086,14518.0,4.0,76.78906,1987.84,364.8008,4361.668,4
24662.76,1647.0,17.12329,14518.0,5.0,79.22656,1990.016,370.6562,4351.199,4
24659.26,1646.0,15.834768,14518.0,5.0,80.10156,2000.969,350.4062,4359.621,4
24659.67,1646.0,14.091681,14550.0,3.0,81.42578,2011.562,343.582,4354.527,4
24659.72,1645.0,15.123195,14550.0,2.0,83.06641,2023.09,334.3359,4350.605,4
24660.95,1643.0,14.540816,14518.0,4.0,84.19922,2027.609,334.2383,4345.051,4
24662.97,1643.0,13.69863,14518.0,2.0,86.3125,2031.488,335.1719,4338.125,4
24709.56,1639.0,20.44293,14550.0,8.0,76.07422,1998.422,366.293,4350.309,4
24841.51,1661.0,50.97872,14678.0,24.0,76.66797,1991.984,270.6172,4451.828,4
24908.72,1662.0,56.51438,14646.0,6.0,77.14453,2030.879,248.7188,4434.355,4
24923.85,1665.0,39.6065,14710.0,5.0,76.50391,2024.805,268.7578,4421.031,4
24921.74,1664.0,26.34271,14710.0,5.0,77.00781,2019.578,241.3594,4453.152,4
24922.46,1664.0,15.677966,14742.0,3.0,77.69922,2018.633,237.7266,4457.039,4
24922.82,1663.0,15.05102,14774.0,4.0,78.82812,2019.52,241.7656,4450.984,4
24921.46,1662.0,13.851351,14806.0,4.0,80.02344,2027.582,243.625,4439.867,4
25124.13,1662.0,19.98277,14710.0,5.0,76.78516,2075.941,148.1875,4490.184,4
24926.78,1661.0,25.23444,14710.0,5.0,76.03906,2078.664,145.625,4490.77,4
24940.33,1661.0,24.04742,14678.0,8.0,76.26953,2064.445,144.14453,4506.238,4
24943.11,1661.0,23.7774,14678.0,3.0,76.51562,2063.508,148.42188,4502.652,4
25199.19,1662.0,19.17578,14678.0,6.0,76.76172,2068.691,151.21094,4494.434,4
24946.21,1662.0,19.52862,14678.0,19.0,77.30078,2060.359,162.73047,4490.707,4
24946.87,1662.0,18.31224,14678.0,18.0,77.60156,2097.305,147.92578,4468.266,4
24949.28,1662.0,21.9697,14678.0,19.0,77.78906,2092.508,191.9141,4428.887,4
