hand_landmarking_mem.committed_Committed_AS,hand_landmarking_system.active_processes_active,hand_landmarking_system.cpu_user,hand_landmarking_system.file_nr_used_used,hand_landmarking_system.processes_running,hand_landmarking_system.ram_buffers,hand_landmarking_system.ram_cached,hand_landmarking_system.ram_free,hand_landmarking_system.ram_used,Target
30607.16,1638,8.249158,15189,4,62.00391,1950.16,266.2617,4519.074,3
30607.23,1637,8.00337,15157,3,62.00391,1950.16,259.8633,4519.875,3
30609.2,1637,7.634228,15157,3,62.01953,1950.164,259.0547,4517.457,3
30605.26,1639,7.388749,15157,4,62.01953,1950.168,261.4727,4518.469,3
30610.98,1639,7.989907,15157,3,62.01953,1950.176,260.4414,4511.461,3
30607.26,1643,7.504215999999999,15157,5,62.01953,1950.18,267.4453,4510.684,3
30607.08,1639,7.588533,15157,3,62.01953,1950.18,268.2148,4515.746,3
30604.87,1639,7.516892,15157,3,62.02734,1950.184,263.1484,4511.57,3
30603.16,1640,7.058824,15125,4,62.02734,1950.184,267.3242,4519.922,3
30604.89,1639,7.685881,15157,3,62.02734,1950.184,258.9609,4514.902,3
30603.17,1640,7.394958,15157,4,62.02734,1950.184,263.9805,4521.055,3
30611.18,1639,7.556675,15189,3,62.02734,1950.188,257.8281,4521.793,3
30625.37,1640,7.569386,15221,3,62.04297,1950.199,257.0898,4519.27,3
30612.27,1642,7.335582,15189,5,62.04297,1950.199,259.6094,4519.488,3
30614.0,1641,7.919124,15157,4,62.04297,1950.199,259.3633,4515.668,3
30612.29,1642,7.905803,15157,4,62.04297,1950.203,263.1836,4523.477,3
30612.24,1641,8.016878,15157,3,62.05078,1950.203,255.375,4523.754,3
30608.48,1641,8.023649,15157,3,62.05078,1950.203,255.0938,4530.711,3
30608.19,1641,7.569386,15157,4,62.05078,1950.203,248.1289,4531.941,3
30608.83,1639,8.080808,15157,3,62.05078,1950.207,246.8984,4525.875,3
30608.23,1640,7.912458,15157,4,62.05078,1950.207,252.9648,4518.281,3
