face_landmarking_mem.committed_Committed_AS,face_landmarking_system.active_processes_active,face_landmarking_system.cpu_user,face_landmarking_system.file_nr_used_used,face_landmarking_system.processes_running,face_landmarking_system.ram_buffers,face_landmarking_system.ram_cached,face_landmarking_system.ram_free,face_landmarking_system.ram_used,Target
10391.777,1013.0,3.675856,9398,3,79.78906,2777.836,1746.086,2187.375,8
10391.781,1013.0,4.11419,9366,3,79.78906,2777.836,1745.555,2187.906,8
10391.781,1013.0,3.688181,9366,4,79.79688,2777.836,1746.891,2186.57,8
10391.781,1013.0,4.026846,9366,3,79.79688,2777.836,1747.426,2186.027,8
10393.289,1016.0,3.784693,9366,4,79.79688,2777.836,1746.688,2186.766,8
10391.656,1013.0,3.94958,9366,3,79.79688,2777.836,1746.59,2186.863,8
10393.375,1014.0,3.607383,9366,3,79.79688,2777.836,1745.383,2188.07,8
10391.68,1013.0,3.613445,9366,3,79.79688,2777.836,1743.168,2190.285,8
10393.402,1014.0,3.616484,9366,4,79.80469,2777.836,1744.07,2189.383,8
10391.68,1013.0,3.535354,9398,3,79.80469,2777.836,1743.348,2190.098,8
10393.414,1014.0,4.131535,9366,4,79.80469,2777.836,1744.504,2188.941,8
10391.691,1013.0,4.110738,9398,3,79.80469,2777.836,1742.289,2191.156,8
10391.691,1013.0,7.052897,9398,3,79.80469,2777.836,1744.074,2189.371,8
10391.691,1013.0,6.896552,9398,3,79.8125,2777.836,1741.41,2192.035,8
10391.695,1013.0,9.463987,9398,4,79.8125,2777.836,1743.375,2190.062,8
10391.695,1013.0,9.21273,9366,3,79.8125,2777.836,1743.543,2189.895,8
10391.656,1013.0,7.472712,9398,3,79.8125,2777.836,1746.457,2186.98,8
10391.668,1013.0,4.606365,9430,3,79.8125,2777.836,1744.633,2188.805,8
10391.668,1013.0,4.534005,9430,3,79.82031,2777.836,1745.082,2188.355,8
10393.535,1014.0,5.130362,9398,4,79.82031,2777.84,1745.723,2187.707,8
10391.699,1013.0,6.025105,9430,4,79.82031,2777.84,1745.625,2187.801,8
10392.953,1014.0,6.208054,9462,4,79.82031,2777.84,1746.125,2187.301,8
10391.707,1013.0,8.984047,9462,4,79.82031,2777.84,1742.277,2191.148,8
10644.555,1014.0,8.501684000000001,9462,4,79.82812,2777.84,1743.582,2189.844,8
10391.707,1013.0,8.662742,9462,2,79.82812,2777.84,1738.516,2194.902,8
10392.312,1014.0,8.340354,9494,5,79.82812,2777.84,1739.352,2194.066,8
10391.711,1013.0,8.97651,9462,4,79.82812,2777.84,1737.781,2195.637,8
10391.711,1013.0,8.823529,9494,4,79.82812,2777.84,1741.824,2191.594,8
10391.715,1013.0,8.340354,9494,3,79.82812,2777.84,1740.406,2193.012,8
10391.715,1013.0,8.270042,9526,4,79.83594,2777.84,1742.531,2190.887,8
10391.715,1013.0,8.51602,9494,4,79.83594,2777.84,1740.762,2192.648,8
10391.773,1013.0,8.84583,9494,4,79.83594,2777.84,1744.582,2188.828,8
10391.773,1013.0,8.607595,9494,3,79.83594,2777.84,1745.562,2187.848,8
10391.773,1013.0,8.677338,9494,3,79.83594,2777.84,1742.68,2190.73,8
10548.117,1013.0,8.600337,9494,3,79.84375,2777.84,1742.609,2190.801,8
10391.777,1013.0,8.670034,9494,3,79.84375,2777.84,1746.613,2186.789,8
10644.625,1014.0,8.900084,9462,4,79.84375,2777.84,1744.621,2188.781,8
10391.777,1013.0,8.816121,9462,2,79.84375,2777.84,1746.52,2186.883,8
10644.562,1014.0,9.175084,9462,4,79.84375,2777.84,1745.289,2188.113,8
10391.723,1013.0,8.403361,9462,3,79.84375,2777.84,1744.16,2189.242,8
10392.613,1015.0,6.129303,9462,3,79.85156,2777.84,1742.812,2190.59,8
10391.746,1013.0,5.532272,9462,3,79.85156,2777.84,1742.406,2190.988,8
10391.746,1013.0,6.459732,9430,4,79.85156,2777.84,1741.09,2192.305,8
10391.75,1013.0,9.128978,9430,3,79.85156,2777.84,1743.207,2190.188,8
10391.75,1013.0,4.366079,9462,4,79.85156,2777.84,1744.328,2189.066,8
10391.75,1013.0,3.862301,9494,3,79.85938,2777.84,1743.344,2190.051,8
10391.77,1013.0,4.366079,9462,4,79.85938,2777.84,1743.18,2190.207,8
10393.48,1014.0,3.942953,9462,4,79.85938,2777.844,1740.719,2192.668,8
10391.773,1013.0,3.700589,9462,4,79.85938,2777.848,1741.262,2192.121,8
10393.641,1014.0,3.610411,9462,3,79.85938,2777.848,1741.316,2192.062,8
10391.789,1013.0,4.037006,9430,3,79.86719,2777.848,1741.25,2192.129,8
10391.789,1014.0,3.878583,9462,4,79.86719,2777.848,1741.16,2192.211,8
10391.801,1013.0,4.030227,9462,3,79.86719,2777.848,1739.867,2193.504,8
10646.164,1014.0,4.87395,9462,4,79.86719,2777.848,1742.641,2190.73,8
10397.938,1014.0,4.373423,9494,4,79.86719,2777.848,1741.625,2191.746,8
10397.938,1014.0,6.576728,9494,2,79.875,2777.859,1743.453,2189.918,8
10397.938,1014.0,3.778338,9494,4,79.875,2777.859,1743.441,2189.91,8
10397.938,1014.0,3.868797,9462,4,79.875,2777.859,1741.195,2192.156,8
10393.938,1013.0,4.198153,9462,1,79.875,2777.859,1740.422,2192.93,8
10393.879,1013.0,9.037162,9430,4,79.875,2777.859,1743.297,2190.055,8
10393.891,1016.0,8.823529,9398,3,79.875,2777.863,1743.438,2189.914,8
10393.984,1016.0,8.662742,9398,3,79.88281,2777.863,1745.387,2187.961,8
10394.59,1017.0,8.501684000000001,9430,4,79.88281,2777.863,1743.512,2189.828,8
10393.984,1016.0,9.190556,9398,4,79.88281,2777.863,1742.316,2191.023,8
10395.711,1017.0,8.326325,9398,5,79.88281,2777.863,1742.844,2190.496,8
10393.988,1016.0,8.578638,9366,3,79.88281,2777.863,1742.594,2190.746,8
10395.711,1017.0,9.060403,9366,4,79.89062,2777.863,1742.906,2190.434,8
10393.992,1016.0,8.508846,9366,4,79.89062,2777.863,1740.645,2192.688,8
10393.992,1016.0,8.808724999999999,9366,4,79.89062,2777.863,1741.207,2192.125,8
10393.992,1016.0,8.535565,9398,3,79.89062,2777.863,1741.055,2192.277,8
10393.93,1016.0,8.84583,9462,2,79.89062,2777.863,1744.359,2188.973,8
10393.938,1016.0,9.090909,9462,4,79.89844,2777.863,1745.391,2187.941,8
10393.938,1016.0,6.381192,9462,3,79.89844,2777.863,1745.012,2188.312,8
10395.785,1017.0,8.473154,9494,4,79.89844,2777.863,1746.543,2186.781,8
10395.812,1019.0,8.732158,9494,4,79.89844,2777.863,1744.625,2188.699,8
10395.801,1017.0,8.326325,9494,5,79.89844,2777.863,1743.168,2190.156,8
10393.953,1016.0,8.768971,9494,4,79.89844,2777.863,1743.504,2189.82,8
10423.434,1016.0,8.333333,9462,4,79.90625,2777.867,1746.977,2186.348,8
10393.953,1016.0,8.648195,9494,4,79.90625,2777.867,1743.285,2190.027,8
10646.805,1017.0,8.542714,9494,4,79.90625,2777.867,1742.695,2190.617,8
10393.961,1016.0,6.223717,9494,4,79.90625,2777.867,1743.012,2190.301,8
10393.965,1016.0,8.235294,9462,4,79.90625,2777.867,1745.215,2188.098,8
10393.969,1016.0,9.098568,9430,4,79.90625,2777.867,1749.23,2184.082,8
10393.969,1016.0,8.340354,9398,4,79.91406,2777.867,1745.035,2188.277,8
10393.977,1016.0,6.334459,9398,3,79.91406,2777.867,1743.723,2189.582,8
10393.973,1016.0,3.781513,9398,3,79.91406,2777.867,1744.32,2188.984,8
10395.809,1017.0,3.535354,9398,4,79.91406,2777.867,1744.66,2188.645,8
10393.973,1016.0,3.616484,9462,3,79.91406,2777.867,1744.238,2189.066,8
10395.84,1017.0,3.201348,9462,3,79.92188,2777.867,1743.656,2189.648,8
